Order ID,Date,Product Category,Product,Region,Quantity,SalesAmount,Cost,Profit,ProfitMargin
ORD-46274,2024-03-30,Electronics,Laptops,Latin America,2,648.14,458.86,189.27,0.292
ORD-99670,2024-03-30,Accessories,Smartwatches,Middle East & Africa,1,88.27,44.91,43.36,0.4912
ORD-91965,2024-03-30,Accessories,Headphones,Asia Pacific,7,1229.84,728.24,501.6,0.4079
ORD-68072,2024-03-30,Home Goods,Desks,Middle East & Africa,9,5542.97,3474.54,2068.42,0.3732
ORD-61225,2024-03-30,Clothing,Jeans,North America,9,668.29,239.05,429.24,0.6423
ORD-31518,2024-03-30,Accessories,Headphones,Latin America,1,259.01,147.76,111.25,0.4295
ORD-47448,2024-03-30,Clothing,Jackets,Latin America,4,277.84,133.39,144.46,0.5199
ORD-71100,2024-03-30,Electronics,Tablets,Asia Pacific,4,3795.1,2461.04,1334.06,0.3515
ORD-88063,2024-03-30,Accessories,Backpacks,North America,7,1433.54,786.16,647.37,0.4516
ORD-25312,2024-03-30,Home Goods,Lamps,North America,6,695.8,470.4,225.39,0.3239
ORD-81231,2024-03-31,Electronics,Tablets,North America,4,6715.68,4948.78,1766.9,0.2631
ORD-60853,2024-03-31,Electronics,Monitors,Latin America,7,6561.49,4131.95,2429.54,0.3703
ORD-58360,2024-03-31,Accessories,Smartwatches,North America,2,218.28,125.0,93.27,0.4273
ORD-24546,2024-03-31,Accessories,Smartwatches,Europe,8,580.08,341.08,238.99,0.412
ORD-25352,2024-03-31,Clothing,Jeans,North America,7,642.78,309.36,333.41,0.5187
ORD-87567,2024-03-31,Clothing,Jackets,Latin America,7,428.56,181.91,246.65,0.5755
ORD-66810,2024-03-31,Clothing,Jackets,Middle East & Africa,6,356.11,133.62,222.49,0.6248
ORD-72632,2024-03-31,Accessories,Headphones,Europe,7,1901.34,870.89,1030.46,0.542
ORD-51308,2024-03-31,Home Goods,Desks,Europe,5,3380.61,1837.8,1542.81,0.4564
ORD-54983,2024-03-31,Home Goods,Sofas,North America,4,1113.07,658.67,454.4,0.4082
ORD-16288,2024-03-31,Home Goods,Sofas,Europe,3,323.91,164.8,159.11,0.4912
ORD-54029,2024-03-31,Home Goods,Lamps,Middle East & Africa,1,701.87,372.86,329.01,0.4688
ORD-54657,2024-03-31,Clothing,Sneakers,Middle East & Africa,3,150.47,54.05,96.42,0.6408
ORD-34370,2024-03-31,Electronics,Smartphones,Europe,1,1001.83,688.62,313.21,0.3126
ORD-68021,2024-04-01,Accessories,Headphones,Asia Pacific,6,233.27,120.28,112.99,0.4844
ORD-75206,2024-04-01,Electronics,Monitors,Asia Pacific,4,4214.53,3314.3,900.23,0.2136
ORD-35290,2024-04-01,Accessories,Smartwatches,Europe,8,394.44,167.8,226.64,0.5746
ORD-13666,2024-04-01,Home Goods,Sofas,Middle East & Africa,7,487.27,285.82,201.44,0.4134
ORD-96625,2024-04-01,Home Goods,Lamps,Middle East & Africa,8,1160.78,729.95,430.83,0.3712
ORD-78725,2024-04-01,Home Goods,Desks,Asia Pacific,3,2224.71,1338.34,886.37,0.3984
ORD-70824,2024-04-01,Accessories,Smartwatches,Middle East & Africa,8,1915.17,931.16,984.01,0.5138
ORD-50492,2024-04-01,Home Goods,Desks,Europe,10,7109.25,3856.6,3252.65,0.4575
ORD-72206,2024-04-01,Electronics,Laptops,Middle East & Africa,4,2674.65,1786.12,888.53,0.3322
ORD-16843,2024-04-01,Electronics,Smartphones,Asia Pacific,3,3271.86,2074.86,1196.99,0.3658
ORD-53641,2024-04-01,Accessories,Smartwatches,Latin America,8,1020.3,460.05,560.26,0.5491
ORD-91814,2024-04-02,Accessories,Backpacks,Latin America,9,2530.43,1098.0,1432.43,0.5661
ORD-74544,2024-04-02,Electronics,Smartphones,Europe,9,16878.93,11133.38,5745.55,0.3404
ORD-10383,2024-04-02,Clothing,Jeans,Asia Pacific,9,544.96,189.0,355.95,0.6532
ORD-80566,2024-04-02,Clothing,Jackets,Asia Pacific,3,181.63,73.45,108.17,0.5956
ORD-14963,2024-04-02,Accessories,Chargers,Latin America,2,348.21,201.12,147.09,0.4224
ORD-27065,2024-04-02,Home Goods,Lamps,North America,2,496.64,304.34,192.3,0.3872
ORD-34673,2024-04-02,Electronics,Laptops,North America,10,5891.72,4372.37,1519.35,0.2579
ORD-13091,2024-04-02,Home Goods,Desks,Latin America,9,5040.08,3391.74,1648.34,0.327
ORD-99502,2024-04-02,Accessories,Chargers,Latin America,9,1192.05,522.46,669.59,0.5617
ORD-29175,2024-04-02,Accessories,Headphones,Middle East & Africa,2,71.43,32.54,38.89,0.5445
ORD-30994,2024-04-02,Clothing,T-Shirts,North America,7,731.3,274.48,456.82,0.6247
ORD-86832,2024-04-02,Accessories,Chargers,Latin America,3,607.91,246.05,361.86,0.5952
